Name,ID,Math,Physics,Chemistry,Biology,English,History,Literature
Adrian,107,75,75,78,81,86,81,81
Alan,104,81,81,83,72,60,68,72
Allison,126,59,70,70,64,67,62,74
Amelia,106,69,83,68,78,68,72,70
Angelina,114,96,85,97,81,98,85,100
Antonio,121,81,86,77,84,80,80,81
Arianna,108,86,89,84,89,75,80,89
Bailey,147,73,61,69,71,70,63,64
Caitlyn,111,83,74,62,65,77,77,65
Christian,131,85,94,82,89,95,98,95
Christopher,148,76,72,68,60,70,69,64
Courtney,149,77,89,82,80,89,90,81
David,115,90,85,84,91,81,92,86
Erick,102,85,77,77,64,83,66,63
Ethan,101,75,86,79,77,76,82,81
Genesis,129,95,82,92,94,100,80,88
Giovanni,124,68,61,67,77,73,62,66
Giselle,122,87,82,85,78,88,78,90
Grace,132,80,84,84,82,85,80,82
Hailey,116,75,80,73,74,71,66,60
Hayden,123,86,77,85,85,84,79,85
Hunter,150,60,67,79,69,63,68,82
Isabella,125,73,72,80,78,66,72,65
Jacob,145,71,70,72,71,58,60,67
Jada,146,68,66,55,57,52,53,60
Jason,119,61,79,79,70,77,61,66
Jeremy,105,81,75,78,82,78,77,83
Jessica,138,69,69,64,81,78,76,82
Joel,142,80,89,82,78,88,83,86
