Name,ID,Math,Physics,Chemistry,Biology,English,History,Literature
Aaron,169,85,83,85,65,67,64,76
Abigail,176,87,89,86,83,90,87,79
Adam,166,88,81,89,87,75,81,75
Addison,158,60,72,56,52,73,69,59
Andrea,198,85,88,90,77,78,83,88
Andrew,177,76,69,68,79,63,69,84
Ashley,155,64,75,74,69,64,68,74
Braden,152,63,84,81,74,70,65,72
Brittany,188,84,85,80,82,79,87,86
Cameron,193,68,71,58,54,73,65,64
Carson,171,84,88,82,84,90,82,85
Cassandra,182,89,86,83,76,76,82,82
Christina,178,79,68,64,68,76,77,68
Colton,175,77,80,75,75,85,75,89
Destiny,190,65,76,60,77,68,83,66
Dominic,161,69,65,71,69,84,82,84
Elizabeth,184,87,90,75,79,87,86,86
Erik,163,86,75,82,85,75,75,84
Erin,194,81,84,89,80,84,79,81
Evelyn,180,83,82,79,74,69,75,67
Isaac,181,85,86,89,79,90,77,88
Jack,199,58,64,70,65,73,59,51
James,164,64,71,68,79,85,81,61
Jasmin,185,82,82,85,83,88,94,96
Jesse,186,78,74,78,67,80,74,65
Jonah,157,65,64,66,85,80,71,67
Julian,187,78,86,76,77,82,83,77
Karina,159,72,72,84,60,65,70,81
Kate,167,80,81,86,81,91,82,91
